Epoch,Train Loss,Val Loss,Dice,F1 (Harmonic Mean),F1 (None),F1 (Minor),F1 (Major),F1 (Destroyed),Val Score,Best Score
1,3.041278253210352,2.6235611313267757,0.12369871350648272,1.3333326789713403e-06,0.6792013847739811,0.0,0.0,0.0,0.03711054738482009,0.03711054738482009
3,2.2832326026673013,2.257077703699034,0.3772295163618072,0.0005598561838883236,0.6793980647963523,0.0002481532986593518,0.0003261309937076891,0.013745187774676653,0.11356075423726397,0.11356075423726397
5,2.1375323584739196,2.183054578234578,0.3807598144261742,0.2938464825550607,0.718395386085846,0.4516485850247618,0.13787375642567562,0.36317369150537954,0.3199204821163947,0.3199204821163947
7,2.044117051236173,2.0924977559095237,0.45981531869266923,0.3710529277089783,0.7217164832196729,0.5185404519954374,0.20817420018067972,0.37559753157175213,0.39768164500408554,0.39768164500408554
9,1.9860933676679084,2.0469555297093085,0.5286020350715492,0.4224642981682263,0.687066191406067,0.5072452405463246,0.2686767704697059,0.43113860410221655,0.45430561923922314,0.45430561923922314
11,1.9218801145857953,1.9849469424688329,0.5419958776774287,0.4431071431431454,0.7302058689555084,0.5412684520607045,0.2809117352012231,0.4443735051432794,0.47277376350343037,0.47277376350343037
13,1.850227525893678,1.9548666463260762,0.5553343807086839,0.46679628167369647,0.7189411744931248,0.5187674795728257,0.321186175725543,0.46793933482977085,0.4933577113841927,0.4933577113841927
15,1.8096798607643614,1.9301556132690252,0.5347707549454458,0.48661724312145893,0.747529101660207,0.4977073638559568,0.35991966380018603,0.4773999672051053,0.501063296668655,0.501063296668655
17,1.772274374961853,1.9104416593473557,0.5535965232769716,0.4902947720712567,0.7150018578308838,0.5233316514929541,0.3580696135837929,0.48633635436048256,0.5092852974329711,0.5092852974329711
19,1.720824363383841,1.8745689057467276,0.5617921696875846,0.49581957853015746,0.7450757825949877,0.5112281742993529,0.37696220212126336,0.47248643216766273,0.5156113558773856,0.5156113558773856
21,1.7133975840629416,1.8700991276411982,0.5537030279009169,0.5014660407672925,0.7446224872000852,0.5234354855883366,0.3728461650562539,0.48992231685887405,0.5171371369073798,0.5171371369073798
23,1.683992292018647,1.8554920927125809,0.5731644992248336,0.5017868661652422,0.7427284557588186,0.5240969326733229,0.3808437953820352,0.47816023074491626,0.5232001560831195,0.5232001560831195
25,1.661241095116798,1.8582226658425136,0.5568747912424817,0.49526660915481746,0.7416593156046518,0.5096632460609828,0.3754217463719502,0.47564768329129653,0.5137490637811167,0.5232001560831195
27,1.6489865970104298,1.8445762584083958,0.5723304115610716,0.49957094616890024,0.7501484357613512,0.5116596295877301,0.39410175889617466,0.4582997512001962,0.5213987857865516,0.5232001560831195
29,1.6390987203476277,1.8445131360438831,0.5617708746178338,0.4990333238152579,0.7449756047915043,0.5211149542983714,0.3828064177639373,0.4668666935425244,0.5178545890560307,0.5232001560831195
31,1.6356845066902486,1.8370285877707409,0.5752385487116615,0.5037491074958576,0.7461255243960883,0.5203549973358931,0.38678936468701985,0.47776739041700134,0.5251959398605988,0.5251959398605988
33,1.6272020834557555,1.8325628634781865,0.5761701101503136,0.4989961984083875,0.744258423632373,0.5126533277798444,0.38337843153616,0.47315642133611696,0.5221483719309653,0.5251959398605988
35,1.625059259698746,1.8314989986475447,0.5637836292242407,0.5023996545815836,0.7509833941417874,0.5155319627751817,0.3874178402967012,0.47409501752064126,0.5208148469743807,0.5251959398605988
37,1.627617171470155,1.8309308659960652,0.569984864784542,0.5007241415927255,0.7450315203091935,0.5193059797863057,0.3918612270628594,0.46111608475082067,0.5215023585502705,0.5251959398605988
39,1.6200433703179056,1.828512073957432,0.5653779239671708,0.5024664879343247,0.7450226281656391,0.5157954023142136,0.3884115468691171,0.4750224992720824,0.5213399187441785,0.5251959398605988
41,1.6139639920376716,1.8278476529651217,0.5751234443933659,0.5010111376326479,0.7475330860953457,0.5097197825540855,0.3895954200475834,0.47225274496928793,0.5232448296608633,0.5251959398605988
43,1.6108032224026132,1.8259012622442858,0.573389864582711,0.5025151497220484,0.7489533276704191,0.5123427757777822,0.3934249705726833,0.46922363657437394,0.5237775641802471,0.5251959398605988
45,1.6108607763939715,1.8258079227648283,0.5738850976565306,0.5012416492697891,0.7500156815387393,0.5168502122965707,0.3896970368033141,0.4659828852339625,0.5230346837858115,0.5251959398605988
47,1.6111283416443682,1.8199232977036146,0.5762255070526645,0.5027196193804392,0.7463385927423051,0.5151629626293758,0.3885709880947109,0.4756925849975836,0.5247713856821068,0.5251959398605988
49,1.6081759866247787,1.82313402981786,0.5719430793960529,0.5025441239178041,0.7459997679455446,0.5173780085984981,0.3908156780736394,0.4700441020676864,0.5233638105612788,0.5251959398605988
