Epoch,Train Loss,Val Loss,Dice,F1,F1 (None),F1 (Minor),F1 (Major),F1 (Destroyed),Val Score,Best Score
1,6.3884307906982745,6.207864131146704,0.4395412056851043,0.08950693018242757,0.7014306148442108,0.13149523805538002,0.030736850910514042,0.31993120463997166,0.1945172128332306,0.1945172128332306
3,4.93004983029467,5.142629523026316,0.5727337973376359,0.2617854224556678,0.7122438485114868,0.3928688655016792,0.11479765772966587,0.38176542399149865,0.3550699349202582,0.3550699349202582
5,4.3058714968092895,4.725793258488527,0.5879179810160164,0.4302434448954648,0.7094202934399886,0.40466204601811123,0.3120712950526303,0.45210209039768223,0.47754580573163025,0.47754580573163025
7,4.118208795151812,4.82557407457229,0.5688347085087744,0.4425123547461584,0.5158602420657649,0.4618624904777138,0.36799820749818535,0.45080465386142243,0.4804090608749432,0.4804090608749432
9,3.9405999906519624,4.560135994738306,0.5877263202873675,0.49215256316665007,0.7296828450291201,0.49590151136647515,0.37625695408453463,0.48011545755089025,0.5208246903028653,0.5208246903028653
11,3.8759738891682725,4.4798282991375835,0.6029717073196309,0.4710253102380965,0.7260208297399917,0.5114287096133051,0.3909812151644993,0.3843513099493303,0.5106092293625568,0.5208246903028653
13,3.7439112473041454,4.544273786377489,0.6012319232256473,0.4729718083849365,0.6892892506424723,0.48600488387928825,0.36822987605698293,0.44780292240333386,0.5114498428371498,0.5208246903028653
15,3.6688365720688028,4.404865309508921,0.6274801578968581,0.4811006087747035,0.7188958137951733,0.5211738338910993,0.40773654748199323,0.3918563478973476,0.5250144735113498,0.5250144735113498
17,3.6378413109069174,4.373564976697777,0.613480526022676,0.48174564521087454,0.7366030268834175,0.5229716223141516,0.3819644101190606,0.41401403559196187,0.521266109454415,0.5250144735113498
19,3.5948591447891074,4.34349839171471,0.620411496212566,0.48781628349530726,0.7397237677517515,0.4993228466999357,0.386670050661772,0.4426593707250342,0.5275948473104848,0.5275948473104848
21,3.583828057380433,4.385694065986321,0.6055082768188661,0.496974801915995,0.7579654118239113,0.5356430999577032,0.3689588076668443,0.4646518011685752,0.5295348443868563,0.5295348443868563
23,3.5052067066760775,4.362048645465695,0.6312711202314285,0.49156380726795723,0.7519470444209,0.500408208031202,0.39825538343717215,0.4351398144206707,0.5334760011569986,0.5334760011569986
25,3.4748779738203006,4.369686600757621,0.6358860483366473,0.5020633866672297,0.740448106825955,0.5211728453889894,0.4048386653942824,0.4488863244560432,0.542210185168055,0.542210185168055
27,3.4639348933037293,4.419525299853052,0.5989291588413624,0.5095319886663906,0.7528675351457992,0.516994103519834,0.3973673711539638,0.48279289591730074,0.5363511397188822,0.542210185168055
29,3.4438115155443234,4.350759829694067,0.5960325201054866,0.524401025293029,0.7345575607323207,0.5351692793119572,0.42252588173899863,0.49234042553191487,0.5458904737367662,0.5458904737367662
31,3.4559633161159273,4.361478526689853,0.6109835048071499,0.5188388910555549,0.7169255390877186,0.5404537117957682,0.42383611748288536,0.4750609757233705,0.5464822751810334,0.5464822751810334
33,3.4365748496765787,4.337398311548066,0.5954608853322406,0.5205551723365892,0.7473959681116242,0.5449713090585121,0.40684595523218303,0.4870330699766492,0.5430268862352846,0.5464822751810334
35,3.4041080474853516,4.32757554416768,0.6163589560821813,0.5092300836963419,0.7479639095301409,0.5145182958069993,0.39157932385296246,0.4948725593232478,0.5413687454120937,0.5464822751810334
37,3.348355751088325,4.3756160540887485,0.611166815202604,0.5120463036093287,0.7496319382654648,0.5080740759905703,0.40543822517586253,0.4894433134243842,0.5417824570873113,0.5464822751810334
39,3.3650720601386213,4.305301922803734,0.6439444681746245,0.5149707907602997,0.7454630844193028,0.5275093181245248,0.4095814806698571,0.47874818705126704,0.5536628939845971,0.5536628939845971
41,3.3246548023629696,4.342325801737824,0.6053983388725301,0.5283965733520043,0.756946128974057,0.5253547832824026,0.42421534542358674,0.502962498379473,0.551497103008162,0.5536628939845971
43,3.3360572026131,4.2884113746776915,0.6156562181952915,0.5205897445772544,0.7606427210022609,0.5260540224303311,0.4111901077456381,0.49115414077324804,0.5491096866626655,0.5536628939845971
45,3.3212203675128045,4.301642353771723,0.6291232830277331,0.5172477697634799,0.754965403959523,0.5361919890595406,0.4121722197322783,0.4722515690822979,0.5508104237427558,0.5536628939845971
47,3.3088516910025416,4.336767759936595,0.6148278922776058,0.5185887026107676,0.7542186918821405,0.5194555687695074,0.4052727624807478,0.5012995235080471,0.547460459510819,0.5536628939845971
49,3.2770627229771714,4.320402532990216,0.6205529349112121,0.5213583366705723,0.7551717722789484,0.5282611599215672,0.40544306238974415,0.502856475622509,0.5511167161427641,0.5536628939845971
