Epoch,Train Loss,Val Loss,Dice,F1,F1 (None),F1 (Minor),F1 (Major),F1 (Destroyed),Val Score,Best Score
1,2.217988595049432,2.139722372356214,0.21223823086881322,1.3333326789713403e-06,0.6792013847739811,0.0,0.0,0.0,0.06367240259351924,0.06367240259351924
3,2.007783210023921,2.0017025916897064,0.5367228681634579,1.3333326789713403e-06,0.6792013847739811,0.0,0.0,0.0,0.16101779378191267,0.16101779378191267
5,1.856564405116629,1.8346456101066189,0.5623378391389351,3.9957560073671135e-06,0.6791845911602066,0.0,0.0009573958831977022,0.057995024181547616,0.1687041487708857,0.1687041487708857
7,1.6496874220827793,1.6541809728968213,0.5529218831256317,3.99987128454928e-06,0.6839337224484835,0.0,0.048087540146456796,0.10077705551463917,0.1658793648475887,0.1687041487708857
9,1.5415621222333704,1.5759146610895793,0.6027049832388007,3.999933645267462e-06,0.6903301022454703,0.0,0.09059778330775572,0.24374079221391695,0.18081429492519188,0.18081429492519188
11,1.467661530413526,1.5549153751797147,0.5761013358849856,0.3611613089352858,0.7235550589501587,0.40240258828569114,0.26877608391851043,0.28672107396618424,0.4256433170201957,0.4256433170201957
13,1.4092636526899134,1.5250871279086287,0.6201986379416888,0.4170160127103653,0.7041827840602358,0.39251293557265715,0.3214743418593475,0.3978450209588708,0.47797080027976235,0.47797080027976235
15,1.3896756070725462,1.5173732781270792,0.6254616257394158,0.44701038113724006,0.7149359604808143,0.42044416655939487,0.3558654671227466,0.42352339087760343,0.5005457545178927,0.5005457545178927
17,1.379170000553131,1.5144446202886035,0.5915208164238028,0.4503448271351473,0.6921785750483541,0.4282350829335842,0.3559067934937593,0.43620518280538606,0.49269762392174393,0.5005457545178927
19,1.3708269380508584,1.513158745235867,0.593998367512526,0.4654514249824879,0.7078585290762481,0.47212383679501035,0.35555207473015693,0.44434579563715787,0.5040155077414994,0.5040155077414994
21,1.3696237460095833,1.4972659028761568,0.6010236211756967,0.4564055894032692,0.704641655976035,0.44848738557316736,0.355131211943435,0.4348930429619845,0.49979099893499745,0.5040155077414994
23,1.3335854208215754,1.4883372030760114,0.6120993979056115,0.4612132956736306,0.7158469111357417,0.4852016082440028,0.34475018729030044,0.4321147521035646,0.5064791263432249,0.5064791263432249
25,1.3306834165086137,1.484344626727857,0.6046217506717664,0.4708043699703472,0.7180935409335971,0.4709865735558438,0.3643834560245734,0.4472319658380357,0.510949584180773,0.510949584180773
27,1.324807423226377,1.4912495348188612,0.6105291936722087,0.476514634783887,0.688656221378614,0.49238902276840296,0.3759206733444046,0.4442172836060426,0.5167190024503835,0.5167190024503835
29,1.3186102471453078,1.4889428748024836,0.6022512766833542,0.4813620719286446,0.6859673898422716,0.49581342917823884,0.37792939271559345,0.4568105451820439,0.5176288333550575,0.5176288333550575
