Epoch,Train Loss,Val Loss,Dice,F1,F1 (None),F1 (Minor),F1 (Major),F1 (Destroyed),Val Score,Best Score
1,10.640510711264103,10.447034813507258,0.17320207696313608,2.751151439667939e-05,0.670760368092522,5.881943511775161e-06,0.07485040509770004,0.014077938479988181,0.0519798811490185,0.0519798811490185
3,9.365145277469717,9.472791147510907,0.5268424848870573,0.12606825723244336,0.6530248989290551,0.46568829840382797,0.04258768252241636,0.21882984276412787,0.24630052552882753,0.24630052552882753
5,8.257311668801815,8.659303196689539,0.5626148669523472,0.2665961094434694,0.6645532517305089,0.5213548357973464,0.11101137281381154,0.3886320794361665,0.35540173669613273,0.35540173669613273
7,7.05021249487045,7.939837505942897,0.5671487732858916,0.335913100156891,0.6921941191355102,0.5119725414949837,0.15764531916531138,0.4615467640017269,0.4052838020955912,0.4052838020955912
9,6.459719972407564,7.456855863158466,0.603719327719161,0.43590783922226006,0.7363304522225979,0.5122476481467757,0.2733610093112584,0.45293082502876814,0.4862512857713303,0.4862512857713303
11,6.149023086466688,7.1869012709946665,0.6164737461593033,0.46100180499920573,0.740956149611962,0.5227541945487535,0.31592994785750395,0.4446489760418595,0.507643387347235,0.507643387347235
13,5.846375617575138,7.171699390076754,0.6008130609865894,0.4851719991542106,0.7218669358718269,0.5018015153255746,0.37388512662990836,0.45624980568135887,0.5198643177039242,0.5198643177039242
15,5.759525735327538,7.040483893009654,0.6350060534462701,0.4650774028593912,0.7606321949485986,0.5152468789177644,0.3579574553514727,0.39191133349928065,0.5160559980354549,0.5198643177039242
17,5.623942329528484,7.060786102250305,0.6194379188091677,0.4766865501099041,0.7494609649063907,0.5256904526797617,0.39914996375153877,0.3774438699973646,0.5195119607196831,0.5198643177039242
19,5.6155886193539235,6.983295702794839,0.6102597857328467,0.4881721267591727,0.7555070744533376,0.5094943685822713,0.3898649289034111,0.42689190594673304,0.5247984244512749,0.5247984244512749
21,5.548649752393682,7.0007236324555695,0.6411043966577581,0.483928530856857,0.7581060216160577,0.49947584582687116,0.38894872990967305,0.4213199947019455,0.5310812905971273,0.5310812905971273
23,5.42166176248104,6.930540385999177,0.6301151154922533,0.4959725440798351,0.7117476756132868,0.5294126565739898,0.38960596244311874,0.4536370015100586,0.5362153155035605,0.5362153155035605
25,5.448588178512898,6.985808180089583,0.6005062006452385,0.497606649683994,0.7348987529608478,0.5211795545623672,0.38899360509866965,0.45697528129706744,0.5284765149723674,0.5362153155035605
27,5.361441566589031,6.925821413073623,0.6285839776239255,0.49554211185750513,0.7381202811005579,0.5401272170100023,0.3875841737510564,0.43750429045421607,0.5354546715874312,0.5362153155035605
29,5.334064580024557,6.950466833616558,0.6333738242517525,0.48980933610614785,0.7455363379061907,0.5299660671428441,0.38290798596784636,0.4298048040961121,0.5328786825498293,0.5362153155035605
