Epoch,Train Loss,Val Loss,Dice,F1,F1 (None),F1 (Minor),F1 (Major),F1 (Destroyed),Val Score,Best Score
1,4.362121212703796,4.32251521160728,0.09403301847188769,0.00011133944753601893,0.6782178364476693,3.65961526334036e-05,0.006684661553662708,0.0001079721558863879,0.028287843154841518,0.028287843154841518
3,4.031052205543619,4.108771826091566,0.20935603753410229,0.5528161998633737,0.7995781011549573,0.627723045907092,0.3919738413293604,0.543247229791099,0.44977815116459224,0.44977815116459224
5,3.785225844193517,3.945892916785346,0.5325571555887126,0.4991964925313312,0.6672726622972494,0.5596680920862669,0.3590871651300324,0.5147624668679531,0.5092046914485456,0.5092046914485456
7,3.460268107270056,3.711521205846329,0.5529675324468237,0.5789675544576384,0.776722093578203,0.6322266135979145,0.4374813396772608,0.5701652163171391,0.5711675478543939,0.5711675478543939
9,3.0901525773167293,3.484442376253898,0.6088196235810454,0.5818293798354134,0.7796129224112963,0.6280991910812153,0.44597435454381607,0.5688911409781038,0.589926452959103,0.589926452959103
11,2.751264730246061,3.2091347780841137,0.6548165697026244,0.567437101520333,0.8095947609190977,0.6348988567246244,0.39413448019972164,0.5876104095160946,0.5936509419750203,0.5936509419750203
13,2.4745501842675854,3.090908176020572,0.6928098634402804,0.5682615205994135,0.8033302812948498,0.6430836755413981,0.45351949391585344,0.49158817044157754,0.6056260234516735,0.6056260234516735
15,2.2873699475346574,2.977467603850783,0.6923523309919981,0.5831809419984254,0.7984075181186796,0.6035992315465631,0.518766361183366,0.49454146420290346,0.6159323586964972,0.6159323586964972
17,2.1580494013009717,2.918735994930156,0.6738929467106759,0.5667329637667614,0.7648242924566588,0.5981513757723781,0.4788278578094744,0.5024444065372904,0.5988809586499357,0.6159323586964972
19,2.0607717492536146,2.8195121218586525,0.692762610669132,0.5925996518997833,0.7871666597527129,0.601343442184409,0.5002118998807111,0.5502195619947976,0.6226485395305879,0.6226485395305879
21,1.968293101148833,2.7299792808398866,0.7071889234975873,0.595284802883149,0.7934133499126286,0.6113720317510405,0.49919340297008025,0.5493870469612756,0.6288560390674804,0.6288560390674804
23,1.8543268056383817,2.6768302791997005,0.6824639275744955,0.611938609655498,0.8140564603987173,0.6475724955784388,0.5055124847621281,0.5599796376043916,0.6330962050311972,0.6330962050311972
25,1.8233802138336141,2.644665245424237,0.6988877860690826,0.6091497081293276,0.800192624006185,0.6080789174077808,0.5313822963438102,0.5585236414125295,0.636071131511254,0.636071131511254
27,1.793898434316448,2.659631165844655,0.7004409484695233,0.6030622472524664,0.7902844017529824,0.6104681957314773,0.5038292905468845,0.5732064091048229,0.6322758576175834,0.636071131511254
29,1.7473216692395805,2.6831554655443157,0.7143373011332624,0.5975056645939788,0.7859585890714531,0.5895679391132451,0.5194725218800734,0.5552501726793261,0.6325551555557638,0.636071131511254
31,1.7501037493941005,2.613351021593774,0.7171415866324652,0.6087884971943816,0.8141034803704901,0.6279940449923906,0.5115995715452419,0.5570823034374173,0.6412944240258066,0.6412944240258066
33,1.712842147135292,2.6361932085271467,0.7188965798554499,0.5932544581519389,0.8043241727125734,0.6375215789821461,0.46645370443733514,0.5596623872773311,0.6309470946629921,0.6412944240258066
35,1.707793053802824,2.5778484386310243,0.7132773888518938,0.6092075120109245,0.8104350027304495,0.6260609586667119,0.5103796737671449,0.5632537282442339,0.6404284750632153,0.6412944240258066
37,1.6214789991669694,2.5578212724094502,0.7087589541446672,0.6059556580838191,0.8096255870628614,0.6284744367759548,0.4950994356269874,0.5697796060213833,0.6367966469020735,0.6412944240258066
39,1.6162959233677356,2.5539224733386123,0.7166926791680305,0.6095538276585705,0.8132551385075535,0.6400275204946854,0.5128275463733104,0.5494036366526446,0.6416954831114084,0.6416954831114084
41,1.6082750365968093,2.567988708005314,0.7051207910556003,0.5961708670746388,0.7993862602256643,0.613907949588035,0.49158653137109065,0.5569792029409547,0.6288558442689273,0.6416954831114084
43,1.604240044832862,2.5455871952904596,0.7169633487873859,0.5958786984072558,0.8085593043690962,0.6305182790126554,0.4773221276470614,0.557102591033183,0.6322040935212948,0.6416954831114084
45,1.589089846737505,2.551384950938978,0.7205245173232784,0.5927191993708867,0.8161466781150235,0.6245376411266974,0.4687240260356377,0.5590765020209874,0.6310607947566041,0.6416954831114084
47,1.5750564015828645,2.5561405957093712,0.7087096797902392,0.602123722837637,0.8033909329349246,0.6301511348443526,0.4913617965361701,0.5629492175853009,0.6340995099234177,0.6416954831114084
49,1.5510082469378605,2.5693295768827027,0.7198452709133347,0.5865520379657282,0.8073228995348171,0.6183311038738384,0.4680062018595233,0.5473800534119164,0.6265400078500101,0.6416954831114084
